exp	commit	val_f1	f1_bin	f1_cat	val_f1_zs	f1_zs	f1_cat_zs	f1_posts	f1_comments	time	status	description
exp1	7175f5b	0.564000	0.5742	0.5409	0.5599	0.5833	0.5088	0.5847	0.5439	140.3	keep	baseline
exp2	164c182	0.614700	0.7341	0.4064	0.5906	0.6549	0.4641	0.6496	0.6209	164.8	keep	self-consistency voting 5-sample seed/refine 11-sample final; remove critique; compact QA format
exp3	aa836f1	0.504900	0.5877	0.3543	0.4640	0.5051	0.3807	0.4594	0.5301	169.0	discard	add intent descriptions to system prompt
exp4	0650252	0.681300	0.7664	0.5175	0.5865	0.6522	0.4579	0.6996	0.6553	164.5	keep	normalize intent labels in vote to fix fragmentation
exp5	ae76c66	0.652000	0.7286	0.5031	0.5888	0.6549	0.4593	0.6893	0.6128	174.0	discard	increase vote samples refine n=7 final n=15
exp6	b8f5863	0.668800	0.7029	0.5955	0.5862	0.6518	0.4576	0.7528	0.5795	258.2	discard	3 probe iterations instead of 2
exp7	5b0d4f4	0.646800	0.7099	0.5204	0.5760	0.6400	0.4503	0.6811	0.6090	167.4	discard	lower seed temperature to 0.5
exp8	e1a5717	0.632200	0.6970	0.5034	0.5883	0.6550	0.4579	0.6488	0.6118	164.0	discard	tighten probe prompt wording
exp9	8eee089	0.656400	0.7174	0.5334	0.5924	0.6607	0.4593	0.6895	0.6132	145.6	discard	skip per-round refinement vote
exp10	958286c	0.687300	0.7312	0.5948	0.6019	0.6446	0.5128	0.7458	0.6252	163.2	keep	format intents as comma-separated string not Python list repr
exp11	8584c62	0.709800	0.7554	0.6138	0.6081	0.6529	0.5151	0.7717	0.6471	169.6	keep	increase final vote to n=17
exp12	4008cb5	0.685800	0.7059	0.6411	0.6142	0.6612	0.5172	0.7730	0.6004	173.9	discard	push final vote to n=21 binary dropped
exp13	8fab1c9	0.649700	0.6788	0.5865	0.6105	0.6557	0.5166	0.6989	0.6011	173.7	discard	final vote n=19 regression
exp14	40c99a0	0.696600	0.7350	0.6146	0.6046	0.6475	0.5151	0.7788	0.6116	183.7	discard	add binary vote tiebreaker for organic_contribution
exp15	0e543fa	0.664100	0.7164	0.5563	0.6011	0.6423	0.5151	0.6794	0.6500	167.3	discard	adversarial probe prompt
exp16	f8c083f	0.642600	0.6718	0.5792	0.6081	0.6529	0.5151	0.7040	0.5761	175.7	keep	rerun of best config n=17 confirm variance
exp17	2d99be4	0.672800	0.6963	0.6211	0.6124	0.6584	0.5172	0.7592	0.5857	181.2	discard	final vote n=25 binary dropped
exp18	100a717	0.649000	0.7025	0.5395	0.6081	0.6529	0.5151	0.6839	0.6124	179.7	discard	seed and refine n=7
exp19	2cc55f7	0.660500	0.7482	0.4937	0.6032	0.6420	0.5216	0.7785	0.5892	193.9	discard	dedicated binary vote reconciliation
exp20	e063f52	0.605500	0.6608	0.4937	0.5944	0.6218	0.5349	0.6357	0.5716	163.4	discard	structured POST/comment framing hurt both metrics
exp21	247a256	0.645300	0.7029	0.5287	0.6093	0.6500	0.5239	0.7026	0.5876	97.3	discard	1 probe iter n=25 final; probe round matters
exp22	b29eae7	0.666500	0.7121	0.5712	0.6066	0.6471	0.5218	0.7191	0.6045	149.5	discard	Llama probe generation; worse than Qwen
exp23	9407062	0.679900	0.7138	0.6071	0.6089	0.6531	0.5172	0.7613	0.5863	260.5	discard	Qwen think mode for probes; too slow
exp24	e2c2dd0	0.620100	0.6693	0.5191	0.5815	0.5936	0.5543	0.6736	0.5622	172.1	discard	neutral expert framing worse than vigilant/skeptical
exp25	52da352	0.692200	0.7273	0.6167	0.6179	0.6667	0.5177	0.7604	0.6258	166.0	keep	unify seed+refine prompts; simplification win ~= best
exp26	13cf53e	0.626600	0.6989	0.4857	0.6100	0.6531	0.5202	0.6743	0.5767	152.8	discard	skip refine votes n=21 final; refine is critical
